March,1
December,1
December,1
February,3
January,1
November,5
June,2
August,3
December,2
September,3
July,1
November,4
February,6
October,3
May,1
April,1
May,2
July,5
April,1
August,3
May,5
January,4
July,2
January,1
July,1
March,2
January,1
September,2
December,1
January,1
July,3
April,3
May,1
August,2
March,1
March,3
April,1
April,2
September,2
May,1
November,7
June,3
February,10
October,1
June,6
September,2
August,2
November,4
November,1
August,1
May,10
September,2
November,1
June,2
June,2
March,2
October,2
October,1
February,5
September,7
May,3
November,8
January,6
June,4
July,6
October,5
May,3
March,6
December,4
September,7
October,4
September,3
August,3
October,5
October,7
September,3
October,2
February,2
May,3
June,1
April,9
September,1
April,1
October,2
October,3
November,4
December,10
September,3
February,2
September,5
July,4
April,4
December,3
November,23
December,6
August,1
July,2
May,1
November,8
November,6
July,3
October,11
December,2
February,2
November,3
July,4
June,1
June,6
July,3
October,8
August,4
June,9
August,8
February,2
September,8
October,1
July,3
November,8
February,1
September,14
April,1
March,7
October,3
January,1
June,1
November,2
December,2
November,2
March,1
October,3
September,2
August,1
June,1
April,2
May,1
October,2
June,1
January,7
May,1
May,1
May,1
May,1
June,1
October,6
September,4
July,2
August,1
July,1
July,4
November,4
April,2
June,6
December,7
August,2
July,1
December,5
October,2
January,5
November,13
August,3
August,1
June,2
June,6
August,1
August,2
April,2
November,5
September,13
November,3
October,10
February,8
June,1
June,3
December,5
December,8
August,3
October,4
May,1
August,1
August,3
December,2
June,2
November,7
November,1
August,3
April,1
August,5
November,3
November,3
January,2
November,1
November,9
April,3
June,1
February,1
February,4
August,3
July,3
March,1
March,1
January,3
September,2
October,9
September,17
September,8
August,2
December,2
August,1
July,3
February,3
April,5
December,3
March,3
March,1
October,7
April,5
October,4
December,11
August,2
August,1
June,1
October,9
August,2
April,2
December,7
September,3
June,1
September,5
October,1
June,1
December,3
September,6
October,1
February,1
January,2
December,3
July,2
February,2
August,3
July,3
February,1
December,1
July,3
January,1
July,3
December,1
December,1
July,1
April,2
April,4
July,2
July,2
August,1
December,3
June,4
July,2
October,12
October,9
May,3
September,2
October,8
September,4
February,6
April,4
April,2
August,1
April,4
September,1
January,2
May,3
January,3
February,1
January,5
February,1
January,3
October,2
March,2
April,1
September,14
August,2
October,4
October,11
August,4
September,4
July,6
June,1
January,2
December,10
May,1
September,2
December,20
September,10
September,7
September,2
July,2
December,7
October,1
November,5
March,2
December,3
September,3
May,3
August,2
December,1
December,2
May,10
July,1
June,4
December,6
October,7
July,3
February,1
February,3
July,3
July,3
August,4
November,4
October,6
July,1
September,2
August,2
September,16
March,1
July,2
September,3
June,1
March,2
September,1
June,1
October,1
October,5
October,1
February,1
March,1
November,1
September,6
February,2
October,1
October,3
August,1
December,1
February,3
June,1
June,2
January,4
June,1
September,1
March,6
July,1
April,2
June,5
June,4
September,8
August,1
January,3
August,3
June,1
August,1
March,5
April,3
July,3
October,6
November,1
June,3
June,3
May,2
October,5
January,6
November,5
June,3
September,2
December,1
June,1
March,3
September,1
June,1
March,1
September,10
July,9
February,3
October,1
April,1
January,1
June,9
October,3
June,3
August,7
September,3
January,1
July,1
February,1
January,3
March,2
August,3
October,2
December,1
November,1
December,1
January,1
April,1
July,1
August,2
April,1
February,1
April,2
April,2
May,4
March,1
March,2
March,1
August,2
August,1
September,1
December,2
August,1
July,2
May,2
September,1
September,2
May,1
February,1
February,2
October,1
February,4
November,3
October,3
July,3
August,4
November,2
July,5
December,3
August,3
November,7
March,1
August,12
October,1
April,4
December,6
June,6
September,2
April,11
April,3
May,1
June,2
October,7
September,6
November,1
December,3
October,1
December,1
March,2
May,1
July,3
October,1
December,1
November,1
January,3
March,1
October,1
March,1
April,3
December,3
December,1
March,3
September,7
February,1
November,1
October,2
October,1
December,1
December,3
October,2
May,3
May,5
April,2
April,4
November,7
July,3
August,2
November,1
June,1
November,1
December,3
December,6
June,6
November,5
August,4
September,5
October,1
December,5
July,8
December,3
August,1
January,2
September,2
August,3
August,6
August,3
July,4
August,1
June,1
November,4
November,2
September,6
May,2
September,4
July,1
July,5
July,2
October,4
May,2
December,6
July,5
May,4
October,3
September,1
April,6
April,2
May,5
November,3
June,2
May,3
October,7
August,3
May,3
May,1
February,4
April,1
September,6
April,3
May,4
September,11
September,1
May,2
September,2
November,5
November,3
June,1
October,5
September,5
August,3
October,5
April,5
May,2
March,3
March,3
February,3
May,1
July,6
November,3
March,1
March,2
March,2
April,2
March,2
January,5
March,3
February,4
April,3
August,3
April,5
April,2
July,4
May,5
April,3
June,5
September,8
July,2
April,1
January,4
January,5
July,2
June,3
July,5
June,1
September,2
June,4
February,3
May,1
May,5
June,3
August,2
March,1
June,2
December,2
February,4
March,6
September,2
October,1
March,1
October,3
March,3
March,3
June,3
August,6
August,2
March,8
April,1
March,1
May,1
January,2
December,1
August,1
January,5
July,3
August,4
August,2
May,1
June,1
May,3
January,4
August,1
July,2
June,4
March,5
January,6
January,3
June,2
June,3
January,2
May,5
June,4
May,6
July,3
May,2
August,1
September,3
February,1
June,5
May,3
February,4
March,4
July,3
February,2
January,4
June,1
July,2
July,1
January,1
July,1
January,2
October,3
September,2
October,4
June,1
August,2
November,1
March,2
November,2
November,3
February,5
November,1
November,2
August,3
October,2
November,2
September,3
June,2
May,1
April,1
December,3
December,4
December,1
December,4
November,2
September,3
December,2
November,1
September,1
September,4
May,2
October,1
September,1
September,1
November,1
February,5
January,1
January,1
January,1
April,1
March,1
March,3
February,3
January,1
January,1
January,5
February,1
January,1
March,2
February,1
March,1
March,2
February,1
January,2
January,1
March,2
March,1
January,2
January,1
February,1
March,1
February,1
January,1
April,2
May,1
May,1
July,2
September,1
September,2
November,1
August,1
July,1
June,1
June,1
August,1
July,1
July,1
June,2
July,1
May,1
July,1
June,1
October,1
October,1
October,1
September,1
September,1
October,2
August,1
August,1
August,2
September,1
August,2
August,2
August,1
November,1
October,1
August,1
August,1
September,1
January,1
January,1
March,1
November,1
May,1
July,1
July,1
June,1
July,1
June,1
September,1
August,1
October,1
September,4
January,1
December,1
January,2
January,1
November,3
December,2
February,1
October,3
December,2
September,2
September,1
March,2
January,1
February,2
January,1
March,1
January,3
December,1
November,2
March,2
December,2
January,2
March,1
January,7
June,1
March,2
January,3
December,3
January,1
January,1
December,3
March,1
February,2
May,1
March,1
January,2
December,1
November,1
February,1
November,3
November,1
November,1
November,1
November,2
November,1
November,1
February,1
January,1
January,2
January,1
January,2
June,2
April,1
August,2
May,1
November,3
June,2
September,2
November,2
April,1
April,1
June,1
October,2
November,1
November,3
April,2
February,1
February,1
June,1
March,1
April,1
November,1
May,3
December,1
April,1
August,1
November,1
July,1
December,3
December,2
September,1
December,1
December,2
December,1
July,1
December,1
January,1
November,1
November,1
September,1
November,1
January,3
January,1
May,1
December,1
December,1
October,1
May,1
June,1
October,1
October,1
January,1
December,1
January,1
February,2
December,1
November,1
November,2
December,1
April,2
March,2
April,1
March,1
April,1
April,1
May,1
January,1
February,1
October,1
August,1
May,1
May,1
December,1
August,1
December,1
March,1
March,1
April,1
August,1
January,3
January,1
December,1
August,1
September,1
November,3
September,1
November,1
November,2
June,1
June,1
March,1
August,1
November,1
February,1
November,2
July,1
September,1
October,2
January,1
July,1
July,1
December,1
January,1
July,1
December,1
May,1
December,1
May,1
January,1
April,2
May,1
November,1
December,1
September,1
August,1
March,1
November,1
July,1
November,1
December,1
April,1
January,1
April,1
December,1
January,1
November,1
June,1
February,1
February,1
January,1
August,1
December,2
December,1
February,1
January,1
August,1
October,1
September,1
December,1
September,1
September,1
December,1
January,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
August,0
August,0
August,0
August,0
August,0
August,0
August,0
August,0
August,0
August,0
August,0
August,0
August,0
September,0
September,0
September,0
September,0
September,0
September,0
September,0
September,0
September,0
September,0
September,0
September,0
September,0
September,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
November,0
November,0
November,0
November,0
November,0
November,0
November,0
November,0
November,0
November,0
December,0
December,0
December,0
December,0
December,0
December,0
December,0
December,0
December,0
December,0
December,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
August,0
August,0
August,0
August,0
August,0
August,0
August,0
August,0
August,0
September,0
September,0
September,0
September,0
September,0
September,0
September,0
September,0
September,0
September,0
September,0
September,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
November,0
November,0
November,0
November,0
November,0
November,0
November,0
November,0
November,0
November,0
November,0
December,0
December,0
December,0
December,0
December,0
December,0
December,0
December,0
December,0
December,0
December,0
December,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
January,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
February,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
March,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
May,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
June,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
July,0
August,0
August,0
August,0
August,0
August,0
August,0
August,0
August,0
August,0
September,0
September,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
October,0
November,0
November,0
November,0
November,0
November,0
November,0
November,0
November,0
December,0
December,0
December,0
December,0
December,0
December,0
December,0
December,0
January,0
January,0
January,0
January,0
January,0
January,0
February,0
February,0
February,0
February,0
March,0
March,0
March,0
March,0
March,0
March,0
April,0
April,0
April,0
April,0
April,0
April,0
April,0
May,0
June,0
July,0
July,0
August,0
August,0
August,0
August,0
September,0
October,0
October,0
November,0
November,0
December,0
December,0
